;Column1;level_0;Id;Text;Label
22;22;54755;54755;"@Karl_Lauterbach @WolfgangMueckst ""Euthanasieprofessor"" Coronavirus ist wohl weggebombt und am HBf etc. gibt es kein 3G, keine Quarantäne, alle umarmen sich und haben sich lieb, verdammter Lügner, schick mir endlich Deine Sch-Anwälte...damit Du endlich "" bezahlen"" musst...BeihilfezumMordMinister https://t.co/PUquce2jmZ";Choose�
23;23;32628;32628;@DunkelfluegelE @PeterHeidtFDP @fdpbt Halt die Fresse und geh mit deinen Reichsbürgerfreunden auf Telegram spielen;Choose�
24;24;28790;28790;"ausgemacht. Außerdem ist bald Frühling u. es reicht mal mit der ganzen Scheiße.""
Der Corona-Warner @Karl_Lauterbach himself sowie d Freiheitskämpfer 1.ter Klasse @MarcoBuschmann liefern hier ihr quijoteeskes Meisterstück ab u. die @GrueneBundestag
schauen zu.
Ich habe fertig.
3/3";Choose�
25;25;27194;27194;"@ThomasNimz @derya_tn @paul_schorsch Na ja, wer Polizisten Costapo nennt...
Block.";Choose�
26;26;64200;64200;@RogerBeckamp Schreibt man „Du bist ein Arschloch“ so richtig, frag für einen dummen Nazi.;Choose�
27;27;55865;55865;@Karl_Lauterbach Unglaublich! Nichtmal in dieser Situation wo der Frieden in ganz Europa und der Welt gefährdet ist, mault und jammert Ihr #Querdenker und #Impfgegner,weil ihr plötzlich zu wenig Aufmerksamkeit bekommt…also wem da nicht klar wird, wer hier den Ernst der Lage nicht versteht🙈;Choose�
28;28;54919;54919;"@Daniel94486666 @McReichibert @milbrath_pierre @Karl_Lauterbach -2 20 Jahre Afghanistan ? komisch wurde nicht so hoch gekocht warum nicht ? mit welchem Recht durfte denn der AMI da einfallen &amp; was hat es nach 20 Jahren gebracht ? Ach ja man hat ihn mal wieder zum Teufel gejagt wie schon so oft wo war der Aufschrei die Sanktionen ?";Choose�
29;29;19337;19337;@hahnflo Nachdem Jahre ein rechtes Arschloch wie Maassen Verfassungschef war, wärs nur gerecht wenns jetzt mal etwas Antifaschistischer zugeht, also setzt euch hin.;Choose�
30;30;11702;11702;@svenlehmann Dann wird so eine Scheiße hier endlich nicht mehr passieren können hoffe ich. https://t.co/piTPOP8JMF;Choose�
31;31;82324;82324;@GoeringEckardt @GansGruen @BriHasselmann Das darf man dieser ekelhaften Person Storch nicht durchgehen lassen. Hoffentlich wird sie wegen Beleidigung angezeigt.;Choose�
32;32;30975;30975;"@MarcoBuschmann Das Gesundheitssystem ist auch ohne Covid an der Belastungsgrenze, von daher besteht immer eine latente Gefahr der Überlastung. Ich brauch keinen ""Freedom-Day"" ich hab alle Freiheiten, die wurden mir nie genommen. Hört doch einfach mal auf zu spinne.";Choose�
33;33;39768;39768;@_FriedrichMerz Euren Mist der letzten 16 Jahre kann man nicht in 3 Wochen wegräumen, billige Politik auf dem Rücken anderer die euren Mist beseitigen müßen. Vor der eigenen Tür kehren ist schwer, ah ne als BlackRock lässt man kehren. #fckcxu #MerzFail;Choose�
34;34;10723;10723;"@Ricarda_Lang Könnt ihr mir bitte diesen Hansel aus meiner TL raushalten. 
Es nerv gewaltig, diese „fleißige“ Heulboje andauend, beim durchscrollen, aufblitzen zu sehen. 
Mich gruselts.";Choose�
35;35;65100;65100;@AndreasWerwolf @SealiixOne @heavyblogging @StBrandner Kein blauer Haken = fake Account du depp;Choose�
36;36;60823;60823;@Karl_Lauterbach Hör doch auf son Schwachsinn zu schreiben wie lange wollt ihr den Quatsch noch weiter machen? Noch mal 3 Jahre? Denn Versprech ich euch brennt Deutschland denn die Leute haben kein Bock mehr sich zu belügen zu lassen!! Tretet zurück alle samt da oben euch brauch keiner !!;Choose�
37;37;28515;28515;"@DrKissler @christianduerr @fdpbt Genau. Weil wir Wohlstandsverwöhnten keinen Bock mehr dazu haben, lassen wir halt die anderen lieber dafür kämpfen und sterben. 
Ist ja auch viel praktischer, kann man so moralisch hochtrabende Kommentare und Ratschläge dazu geben.
...sorry für meinen Sarkasmus...";Choose�
38;38;76371;76371;"@Muenchen1968 @DJanecek Ich nehme mal nur das vorletzte Statement:
""Staat kann auf Basis von Vermutungen ...""

Replik:
Neg. Klimawandel basiert auf zukunftsgerichteter Modellrechnung.
Damit Annahme (könnte so kommen).
Muss nicht (gibt Wiss./Studien).
Fazit: Scheiss auf die Klimapolitik (B90/G)

ERROR";Choose�
39;39;30804;30804;@HilgerAlexander @GydeJ @BerndZiesemer @Ralf_Stegner Meine Güte dieser braune Clown der Bayernpartei wird auch immer peinlicher.;Choose�
40;40;66850;66850;@StBrandner Nein, nein - Stephan, nicht ablenken. Es geht um Euren braun-blauen Club. https://t.co/ZXTMN5Bi9E;Choose�
41;41;84120;84120;"@janoschdahmen Massenmörder! 
https://t.co/gmV5ki9HDL";Choose�
42;42;39317;39317;@christophploss @CDU_Hamburg Als wenn es die CDU anders machen würde. Seit ihr in der Opposition seid, habt ihr ein großes Maul nachdem anderen. Wo war die große Klappe in der Regierung ? So wie gestern bei Lanz. Einfach nur schwatzen ….;Choose�
43;43;6596;6596;@Alice_Weidel Darf nicht von Ihnen kommen,wichtiger wäre doch,die AFD weg zu Reformieren.Andonsten wie immer,albern und lächerlich bzw.Unsinn;Choose�
44;44;1060;1060;@SWagenknecht naja europa als die hure amerikas, hat sich schon vor langer zeit ihr eigenes grab geschaufelt.;Choose�
45;45;34552;34552;@KHofsttter @n_roettgen Nein, das traue ich ihm leider nicht zu. Fraktion „schlanker Fuß“. Funktioniert hier aber nicht, weil Deeskalationsversuche bei einem zu allem entschlossenen Aggressor und Kriegsverbrecher nicht verfangen, sondern alles nur schlimmer machen.;Choose�
46;46;55552;55552;"@VorsitzenderNAV @BKKProVita @Karl_Lauterbach @klausholetschek Bei uns im Dorf würde man sagen:""Da geht einem aber der Arsch auf Grundeis"".";Choose�
47;47;46490;46490;"@Karl_Lauterbach Diese elende permanente Hetze &amp; Panikmache von Pharma-Clowns! Tun Sie doch mal was gegen die Personalnot in den Krankenhäusern, statt hier stündlich den gleichen Mist abzusondern! Einen (verschwindend geringen) Teil Ihres Einkommens bestreiten Sie immerhin aus Steuergeld!";Choose�
48;48;34440;34440;@n_roettgen Nobbi, jetzt hör mal auf sie ständig in die Hosen zu scheissen, zeig mal, dass Du ein Kerl bist und keine Heulsuse;Choose�
49;49;57251;57251;@helgelindh wenn Ihr dummen Dorftrottel ihn dazu nötigt dann selber Schuld aber so 3 Welt Politiker checken das nicht. Wollte Putin unbedingt Krieg, hätte er Ukraine in einer Woche geholt und das schon vor Jahren und Ihr könntet in die Röhre schauen und euren Fußpilz sanktionieren.;Choose�
50;50;35497;35497;@n_roettgen Schwätzer, echt jetzt. Das Kapital wird es nicht tollerieren. Gerade die CDU hat nun alles getan was man irgendwie machen kann um die Bande bestens zu bedienen. Und nun solch Geschwâtz. Lachhaft.;Choose�
51;51;72103;72103;"Liebe @ABaerbock kann man diesen Mist nicht stoppen? Ist das verquerer Männerquatsch, der noch nie etwas von Frauen- und Menschenrechten gehört hat; Ignoranz, Konzeptlosigkeit? Das kann doch keine grüne (Energie) und Außenpolitik sein???
https://t.co/ua2epX9OWv";Choose�
52;52;53337;53337;@Karl_Lauterbach @AfD Wenn sie keinen Einfluss haben warum werden dann sämtliche Schutzmaßnahmen abgeschafft und das obwohl die scheiße so richtig am Kochen ist und die Mehrheit nach wie vor für schärfere Maßnahmen ist und nicht für eine Abschaffung? :0;Choose�
53;53;49669;49669;"@BMG_Bund @Karl_Lauterbach @bayern2 Schon merkwürdig, wie sich Politiker zu Bücklingen machen, wenn die FDP das will. Bei einer Inzedenz von 25 bin ich in den ersten Lockdown gestolpert, bei einer Inzedenz von 2000 brauch ich nicht einmal mehr die Maske. Und abends singt die FDP: ""Es ist geil, ein Arschloch zu sein";Choose�
54;54;85778;85778;"@Kai_Whittaker @c_lindner Lieber den Haushalt für Arbeit &amp; Soziales noch weiter aufpumpen bis er platzt. 
Besser wäre ein Staatsfond wie in Norwegen, womit man die Rente der Bürger unterstützen kann. Schade, dass sich die FDP hier nicht durchsetzen konnte.";Choose�
55;55;22440;22440;@HeiKolbe @OlafScholz Hmm, okay. Also bist du einfach nur ein Rechter Wutbürger der einfach nur rummeckert weil ihm seine alte und die Blagen Aufen Sack gehen. Deshalb kmt auch nur Gemecker und nicht der Versuch eine Alternative Idee an den Mann zu bringen. Du tust mir leid du armes Elend;Choose�
56;56;8284;8284;@Ricarda_Lang Geh scheissn Ricarda.Verzichte du mal auf deine fetten Diäten.Ihr Grünen seid die letzten Heuchler!;Choose�
57;57;29061;29061;@MarcoBuschmann Der nächste Lügner meldet sich zu Wort. So eine verlogene Regierung hatten wir noch nie, jedenfalls kann ich mich an keine erinnern. Treten sie zurück. #neuwahlen;Choose�
58;58;72203;72203;"@JanSchipmann @emiliafester Das ist das lächerliche was ich seit langem höre !  # Emilia Fester hat seit 2  jahren niemanden  geküsst ? Die hat Sie nicht mehr alle, Kindchen stampf' weiter Rum wie ein trotziges  Kind 🤥👍🏻
So was kann und muss man nicht ernst nehmen, sorry.";Choose�
59;59;85538;85538;@n_roettgen @fuecks @roblagnac @RadtkeMdEP @RKiesewetter @AWidmannMauz @BachmannRudi @RebHarms @peterliese @gahler_michael @Peter_Beyer Die Vorstandswahlen sind vorbei. Vielleicht beim nächsten mal. aber sehr unwahrscheinlich. Immer die gleiche Leier, mit der man keinen Hund hinterm Ofen hervorlockt.;Choose�
60;60;66528;66528;@StBrandner Ein Nutznießer oder sagen wir mal Nichtsnutz wie Sie, möge sich doch bitte aus den Staatsgeschäften https://t.co/yWCtC0GEL8 Euch würde schon der Pleitegeier über,s 🇩🇪Land fliegen. #afdverbotJETZT;Choose�
61;61;44612;44612;Es ist alles sinnlos, lächerlich und Blödsinn Herr Pharma @Karl_Lauterbach https://t.co/spE1xzP23u;Choose�
62;62;66781;66781;@Tino_Chrupalla Wahrscheinlich ein paar parteiinterne Gegner. Als gelernter Maler sollte man das doch schnell wieder kaschieren können. Schwamm drüber keine Nachricht wert.;Choose�
63;63;40436;40436;@OlliLuksic Dem Mann läuft der Rotwein schon aus den Augen und sowas darf im Bundestag seinen gequirlten Mist verbreiten. Mit Folgen, wie tausende Tote in Folge der Corona-Menschenexperimente der FDP. Raus mit der FDP aus der Regierung. Lieber ohne die regieren als falsch regieren.;Choose�
64;64;68534;68534;@Simmel123456 @GentlemanDriv12 @StBrandner ach, opposition heisst was? dumm daher labern? wie süss. übrigens sitzen die jammerlappen rechts! aber es werden von wahl zu wahl weniger. woran liegt das nur?;Choose�
65;65;37335;37335;@_FriedrichMerz Hast  Du  eigentlich  gelitten?   Die  Bürgerinnen  und  Bürger  in  Deutschland  haben  gewußt,  warum  sie  die  CDU  und  Euren  Armin  nicht  wollten.   Die  Rede  im  Bundestag  war  voll  daneben.;Choose�
66;66;55256;55256;@WHYausHH @Karl_Lauterbach Stimmt er isst lieber vegetarischen Fisch;Choose�
67;67;31588;31588;"@Carsten_R_78 @Madigral0815 @MarcoBuschmann Ihr dürft ja gerne protestieren. Haben wir die Bürger vernommen, hat uns aber nicht überzeugt.
Vielleicht weniger absurde Argumente bringen und weniger Aggressionen gegen die Bevölkerung mit Terrorspaziergängen und Übergriffen und vielleicht klappt es dann!
Garantien gibt's keine";Choose�
68;68;4702;4702;@coellnbruder @SWagenknecht Ja, nicht nur blöd rumquarken, die Rechte seien eingeschränkt. Lassen sie das von nem Gericht überprüfen. Die Möglichkeit haben Sie ja. Hätten Sie in ner Diktatur nicht. Uuuh da fällt der Groschen;Choose�
69;69;803;803;@GuidoNegele @Amira_M_Ali Wie wäre es denn wenn du was nützliches machen würdest das irgendwem hilft? Aufm Arsch sitzen und nach dem einatmen der eigenen Fürze auf Twitter motzen zählt btw nicht!;Choose�
70;70;39369;39369;@christophploss Gibt Schröder zu viel Beachtung, er ist lediglich Opportunist. Russlandfreundliche Beurteilungen werden ausschließlich von russischen Diensten selbst gesteuert und sehr erfolgreich.;Choose�
71;71;5884;5884;@adilerach @Alice_Weidel Adolf ist ein Vollidiot;Choose�
72;72;42881;42881;@c_lindner ja Sanktionen gegen die eigenen Bürger, ihr seit die schlechteste Regierung aller Zeiten, schaut mal auf die Nachbarländer, wie die uns alles vormachen https://t.co/joFASTGmQb;Choose�
73;73;74489;74489;"@TobiasHallensl @AnneWillTalk @ABaerbock @annewill Inwiefern ist Frau Baerbock denn ein „Opfer von Putins Propaganda“? Ich verstehe diese Unterstellung nicht, da ihr keine Fakten zugrunde liegen -&gt; Sie bedienen sich damit doch selbst propagandistischen Mitteln. Oder nicht? Ich bin wie Sie dafür, dass 🇩🇪 viel mehr tut.";Choose�
74;74;7697;7697;@KruseTom2 @Alice_Weidel Bekommst du Geld, für den Müll den du schreibst ? So wie die Hetzer und Kriegstreiber in Politik und Medien.;Choose�
75;75;60786;60786;"@Karl_Lauterbach 2 Nachtwächter, die die Welt retten wollen und das sogar gegen deren Willen!! Diese Länder können froh sein, das sie keine Impfstoffmenge wie wir haben, da bleibt ihnen wenigstens dieses totale Desaster erspart!
Komisch nur, die leben alle trotzdem noch!";Choose�
76;76;58184;58184;@Karl_Lauterbach @DrTedros Drei Verbrecher der Corona Pandemie! Ihr solltet euch schämen! Widerlich #LauterbachRuecktritt #lauterbachmussweg #RuecktrittLauterbach #neinzurimpfpflicht;Choose�
77;77;49982;49982;@BMG_Bund @Karl_Lauterbach @ardmoma Ihr könnt das nicht ernst meinen, ihr und Karl Lauterbach der Clown seit der größte Witzverein dieses Landes.;Choose�
78;78;20858;20858;"@greenpeace_de @OlafScholz @ABaerbock @BMWK @c_lindner Green &amp; Peace wo bleiben eure Aktionen vor den Zentralen der Kriegsgewinnler, die die Krisen am Laufen halten. Achso, das personifizierte Böse kommt ja wie immer aus dem Osten. Ihr seid doch auch nur ein gehirngewaschener korrupter Haufen🤮";Choose�
79;79;84947;84947;@Sprachlos12 @GoeringEckardt @janoschdahmen Da guckt der Janosch aber ganz schön blöd aus der Wäsche, eben Grün. Und so ein Depp will ganz Deutschland impfen, hat aber von nix eine Ahnung, eben Grün.;Choose�
80;80;6239;6239;"@Rene_Springer ""Bundesregierung"" war mal.. nun sind Kinder, Sozis und Linke an der Macht. Laut mit der Rassel den Krieg vorantreiben.";Choose�
81;81;19811;19811;"Symbolbild
für die Obersten 10%
der Gesellschaft. 

Jeder ist sich selbst der Nächste, wenn es 90% der Gesellschaft schlecht geht. Selbst wenn man es sieht, tut man nichts. 

#Pocher
_
.@OlafScholz 
.@spdde .@spdbt #SPD
.@Die_Gruenen .@GrueneBundestag #Gruenen
.@fdp @fdpbt #FDP https://t.co/AyIul9iE4g";Choose�
82;82;63090;63090;@Karl_Lauterbach Interessiert keinen Bürger mehr, zu viel wurde falsch ausgelegt und falsch kommuniziert. Du kannst die beste Studie vorliegen aber das reicht nicht mehr @rki_de;Choose�
83;83;36113;36113;"@n_roettgen Sehr geehrter Herr Röttgen,
ich stimme Ihnen zu, den Geldfluss nach Russland zu stoppen. Was beutet dann der Importstop von Öl und Gas, für uns Bürger in Deutschland. Was sind die Konsequenzen? MfG";Choose�
84;84;51714;51714;@TTT202020 @SeiMa_Nichso @auf_das_leben_ @DrCWerner @Karl_Lauterbach Ist es nicht !!!!!! Mal an long covid denken !!!!!!Das wird das langfristige Problem, wenn viele nicht oder nur noch eingeschränkt arbeiten können und nur noch eingeschränkte Lebensqualität haben, mal bitte weiter wie nur zur Nasenspitze denken !!!!!;Choose�
85;85;52495;52495;@BMG_Bund @Karl_Lauterbach @GKV_SV jedenfalls der Infektionsschutz für die eigene Bevölkerung wurde ja gerade von Ihnen die Tonne gekloppt. Vielen Dank für nix. Es ist eine Schande und niemals mehr zu verzeihen!;Choose�
86;86;19928;19928;@KuehniKev @Menkalinan @spdde @OlafScholz Und was bekommt man als Rentner? Nichts! Im nächsten Leben dann lieber Sozialschmarotzer. Arbeit lohnt nicht.;Choose�
87;87;63017;63017;@LyllithB @KuehniKev Die SPD kann leider nicht viel dazu https://t.co/PztW4kE7z1 ihren Reihen sind zu viele ungebildete Bürger in Führungspositionen.Wo ist der Fehler?;Choose�
88;88;34113;34113;@Shiyanying @andythechemist1 @SerapGueler @MAStrackZi @_FriedrichMerz Typischer #CSU - #Selbstdarsteller, diesfalls #Marke #Schnösel ( siehe aktuell @MarkusBlume );Choose�
89;89;36950;36950;"@n_roettgen Wie mich Menschen wie sie ankotzen.
Sie wird das gar nichts kosten,der Steuerzahler wird die Rechnung begleichen.
Was sind Politdarsteller nur für ein bigottes widerliches Gesindel 🤮";Choose�
90;90;50428;50428;@Karl_Lauterbach Da hat die Böse Presse völlig Recht. Du bist ein lächerlich Irrwicht. Wie lange willst du das noch durchziehen? Irgendwann haben die Länder um uns herum vergessen was Corona war während du die 789igste Welle heraufbeschwörst.;Choose�
91;91;66740;66740;@btniem @DocPunko @Tino_Chrupalla Eine Figur... Wue sieht es mit einer Institutionen aus wie die Nato? Denkst du hier wird alles teurer und schlechter wegen einem Mann? Es sind unsere Politiker die das Land hier ruinieren und die Bürger enteignen, nicht Putin. Unser Sprit ist teuer weil wir das entschieden haben.;Choose�
92;92;13909;13909;"@sven_kindler @janoschdahmen Ernsthaft? Alles rechte Querdenker, weil man dem Dauerlügner und Märchenerzähler Dahmen die persönliche Meinung zustellt?
Euer Opfergehabe zieht nicht mehr.";Choose�
93;93;8857;8857;"@Beatrix_vStorch @jamila_anna @KathrinAnna So ne Scheiße postet die Luca Modric-Imitation und verwendet dabei gleichzeitig den Slogan ""Freiheit statt Spaltung"" als Profilbild. So sieht also Freiheit à la AFD aus. Was für ein armseliger, brauner Haufen! #fckafd #fcknzs";Choose�
94;94;43668;43668;"@Radbruch_lab @Karl_Lauterbach Ach  Herr ARSCHLOCH LAUTERBACH, 
Zum Thema ""Nebenwirkungsfreie Impfung "" würde ich Sie gerne mal in die Reha Klinik einladen in der ich mich gerade befinde. Der große Teil ist seit der Booster Impfung hier!! Aber die Infarkte haben ja nix damit zu tun. Ich hasse die Ärzte";Choose�
95;95;68567;68567;"@Nicole_Hoechst Deutschland ist das einzige Land der Welt, in dem man ungestraft gegen Inländer hetzen darf.

Selbst Parolen wie ""Deutschland du mieses Stück Scheisse, verrecke"" werden nicht bestraft.";Choose�
96;96;71951;71951;"Geld für Geflüchtete ist da.
Für Rentner, Geringverdiener u Pendler eher nicht.
@GoeringEckardt
@c_lindner
https://t.co/XNx2FWmVVP";Choose�
97;97;75715;75715;@VasiFranco @janoschdahmen @Berliner_Fw Erkennen Sie endlich die Studien an Genesenen an. Es reicht!! Geimpft und nun2 x genesen brauche ich Test in der Kneipe. Das ist lächerlich?? Die geboosterten stecken sich munter an. Sie machen Ihre Arbeit schlicht unvollständig! Herr Voshaar hat es ihnen bereits gesagt!!;Choose�
98;98;38856;38856;@Markus_Soeder @_FriedrichMerz @rbrinkhaus Das einzige was ihr bündeln könnt ist euer Rucksack, wiederwärtig seit ihr Selbstdarsteller, Söder, Dobrindt und Blume in die Braunkohle;Choose�
99;99;21720;21720;@Weisse_Kerze @olafs_skam @Visperusly @Bundeskanzler @OlafScholz Versteht ein 1 Follower Troll aber nicht, was das heisst und ist... der zudem gerade mal ueber Keks zu sein scheint ...;Choose�
100;100;6616;6616;@Beatrix_vStorch Sie hätten mal besser mehr zur  Sauberkeit erzogen werden sollen! Bei Ihnen scheint auch noch der Storch über,s Schmutzennest  zu fliegen! #afdmachtblöd #afdrausausdenparlamenten;Choose�
101;101;29557;29557;@MarcoBuschmann @c_lindner Und der Nikolaus , der trägt weiter seinen schweren Sack. FDP aufwachen,die Preise gehen seit Wochen nach oben, während ihr euch auf der Liberaleninsel euer Glück, dass ihr regiert, nicht fassen könnt. Wir, das Volk wollen Taten sehen, und nicht eure rhetorischen Kaskaden hören.;Choose�
102;102;65130;65130;"@StBrandner Dann versucht es doch einfach noch mal, stellt einen auf und lasst ihn bei der Wahl scheitern. Ihr braunen Spinner habt sie doch nicht mehr alle.
#Bundeskasper";Choose�
103;103;62370;62370;@Korrektpolitish @Karl_Lauterbach na Kasperle, DU hast Ahnung🤡🤡🤡🤡🤮;Choose�
104;104;64329;64329;@SarraKowsky @MalteKaufmann Welchen Spruch? Ihr AfD Fans müsst doch selber mal merken, dass die Prozente bei den Wahlen immer weniger werden statt mehr. Die (Alp)Träumer sind eher in euren Reihen zu finden.;Choose�
105;105;51037;51037;@polenz_r @niemehrgruen @Karl_Lauterbach Armer alter Angsthase.;Choose�
106;106;71376;71376;@Beatrix_vStorch @KathrinAnna Es liegt mir wirklich fern @KathrinAnna in Schutz nehmen zu wollen, aber was ist jetzt an der Kleidung schlimm? Eine dicke Leggins o. Strumpfhose, und darüber hat sie ja etwas an. Das kann eine kurze Hose oder ein kurzer Rock sein. Geschmäcker sind verschieden Frau von Storch^^;Choose�
107;107;57088;57088;@ElfieTalime @Karl_Lauterbach @DrMikeRyan Lauterbach, der dreist Unwahrheiten und Wendehalsmanöver ins Mikro faselt, wirkt leider immer noch. ( siehe Profilbild);Choose�
108;108;3935;3935;"@Lucius40639572 @SWagenknecht Träumer.
Das wird nicht funktionieren.
Das kapitalistische System ist unter Druck. Aber nicht durch Russland oder China. Beide selbst kapitalistisch.
Eher durch die amerikanische Linke und globale Grüne.
Greta Thunberg ist für das kapitalistische System gefährlich. Wenn überhaupt";Choose�
109;109;66507;66507;@StBrandner PI News. 😂 Man ist der Brandner ein Vollhorst;Choose�
110;110;60319;60319;"@AnneWillTalk @DasErste @Karl_Lauterbach @MarkusBlume @DrJanaSchroeder @annewill Danke Herr Lauterbach, genau richtig, übrigens, Herr Blume tut nicht nur so als wäre er dumm, er ist es !!!
€DU/€SU in allerbester Wendehals Manier, unerträglich diese Union";Choose�
111;111;47281;47281;@lipsandskin @Karl_Lauterbach Notorische Lügner tun mir nicht leid;Choose�
112;112;15312;15312;"Welch Überraschung:

#OlafScholz und die #SPD haben uns nicht den Weltfrieden gebracht.

Der Tweet war am 15.2. schon lächerlich.

Aber jetzt sei die Frage erlaubt:
Möchten Sie ihren Tweet zurückziehen, @EskenSaskia ? https://t.co/xIYjX3Kk8Z";Choose�
113;113;28461;28461;"@dirkzimmer338 @fdpbt @fdp @christianduerr Na sicher, die FDP ist dran Schuld, nicht Russland.
Klare Opfer - Täter Vertauschung";Choose�
